RootImage,BotSum,HumanSum
CO1 Lithium 5-4 37,185,88
ACO1 Control 5-4 6,87,34
AO1 Control 5-4 15,87,35
ACO1 Control 5-4 4,20,0
CO1 Control 5-4 30,143,43
nCO1 Lithium 5-4 42,175,91
nCO1 Control 5-4 24,116,53
ACO1 Lithium 5-4 10,42,0
CO1 Lithium 5-4 36,165,30
AO1 Lithium 5-4 43,146,49
AO1 Control 5-4 30,54,18
AO1 Lithium 5-4 9,53,31
ACO1 Lithium 5-4 35,175,0
CO1 Lithium 5-4 1,90,38
ACO1 Control 5-4 1,148,0
ACO1 Lithium 5-4 5,9,0
nCO1 Control 5-4 13,147,66
CO1 Control 5-4 42,109,81
CO1 Lithium 5-4 39,153,70
nCO1 Control 5-4 47,60,0
ACO1 Lithium 5-4 15,23,16
CO1 Lithium 5-4 48,146,101
CO1 Control 5-4 25,184,0
ACO1 Lithium 5-4 7,19,0
ACO1 Lithium 5-4 24,24,15
ACO1 Lithium 5-4 21,55,4
nCO1 Lithium 5-4 21,151,56
CO1 Control 5-4 9,195,79
nCO1 Control 5-4 1,154,0
CO1 Lithium 5-4 24,158,69
CO1 Lithium 5-4 31,167,95
ACO1 Control 5-4 7,60,23
nCO1 Lithium 5-4 3,74,4
CO1 Control 5-4 47,140,66
CO1 Control 5-4 16,216,60
CO1 Lithium 5-4 10,141,86
nCO1 Lithium 5-4 1,168,80
CO1 Control 5-4 38,185,75
ACO1 Control 5-4 19,119,24
CO1 Lithium 5-4 49,97,0
nCO1 Lithium 5-4 14,166,70
nCO1 Control 5-4 40,110,74
AO1 Lithium 5-4 2,59,2
AO1 Lithium 5-4 10,85,30
CO1 Lithium 5-4 44,157,87
ACO1 Lithium 5-4 44,173,80
nCO1 Control 5-4 35,119,23
CO1 Control 5-4 39,129,64
AO1 Lithium 5-4 13,39,0
ACO1 Control 5-4 20,86,17
nCO1 Control 5-4 32,147,76
CO1 Control 5-4 17,137,86
AO1 Lithium 5-4 25,21,0
CO1 Lithium 5-4 29,160,102
AO1 Control 5-4 34,123,55
AO1 Control 5-4 3,72,39
ACO1 Lithium 5-4 28,2,0
CO1 Control 5-4 23,210,0
CO1 Lithium 5-4 41,207,106
ACO1 Lithium 5-4 37,35,0
ACO1 Lithium 5-4 18,68,19
AO1 Lithium 5-4 18,75,4
ACO1 Control 5-4 2,146,30
AO1 Lithium 5-4 38,99,25
AO1 Lithium 5-4 19,56,0
nCO1 Lithium 5-4 38,152,84
AO1 Lithium 5-4 32,57,0
AO1 Lithium 5-4 26,51,21
ACO1 Control 5-4 44,103,48
nCO1 Control 5-4 42,200,79
CO1 Control 5-4 4,83,39
AO1 Control 5-4 23,30,0
CO1 Lithium 5-4 27,142,88
AO1 Lithium 5-4 36,50,10
nCO1 Control 5-4 7,106,56
nCO1 Lithium 5-4 25,165,104
CO1 Control 5-4 46,142,56
AO1 Control 5-4 2,74,18
