RootImage,PrimarySum,SecondarySum,BotSum,AverageSum,PrimaryDiff,SecondaryDiff,BotDiff
NCO1 Control 5-1 14,79,65,67,72.0,7.0,7.0,5.0
CO1 Lithium 5-1 8,69,61,66,65.0,4.0,4.0,1.0
CO1 Lithium 5-1 29,89,72,75,80.5,8.5,8.5,5.5
NCO1 Lithium 5-1 1,95,74,87,84.5,10.5,10.5,2.5
CO1 Lithium 5-1 2,83,78,94,80.5,2.5,2.5,13.5
NCO1 Control 5-1 2,61,55,45,58.0,3.0,3.0,13.0
NCO1 Lithium 5-1 16,111,93,112,102.0,9.0,9.0,10.0
CO1 Control 5-1 44,48,37,35,42.5,5.5,5.5,7.5
ACO1 Control 5-1 26,68,64,67,66.0,2.0,2.0,1.0
NCO1 Lithium 5-1 23,106,89,111,97.5,8.5,8.5,13.5
NCO1 Lithium 5-1 19,98,82,95,90.0,8.0,8.0,5.0
CO1 Control 5-1 8,62,51,62,56.5,5.5,5.5,5.5
NCO1 Lithium 5-1 42,93,73,86,83.0,10.0,10.0,3.0
NCO1 Lithium 5-1 11,89,76,84,82.5,6.5,6.5,1.5
NCO1 Control 5-1 38,78,74,71,76.0,2.0,2.0,5.0
NCO1 Control 5-1 9,55,45,35,50.0,5.0,5.0,15.0
CO1 Lithium 5-1 20,75,56,64,65.5,9.5,9.5,1.5
NCO1 Lithium 5-1 5,94,77,87,85.5,8.5,8.5,1.5
CO1 Lithium 5-1 34,77,69,74,73.0,4.0,4.0,1.0
ACO1 Lithium 5-1 9,50,32,35,41.0,9.0,9.0,6.0
NCO1 Control 5-1 18,54,41,41,47.5,6.5,6.5,6.5
CO1 Lithium 5-1 1,76,69,77,72.5,3.5,3.5,4.5
NCO1 Control 5-1 35,66,48,54,57.0,9.0,9.0,3.0
AO1 Lithium 5-1 21,15,13,13,14.0,1.0,1.0,1.0
CO1 Control 5-1 14,65,51,60,58.0,7.0,7.0,2.0
ACO1 Control 5-1 48,35,33,37,34.0,1.0,1.0,3.0
NCO1 Control 5-1 6,51,43,46,47.0,4.0,4.0,1.0
AO1 Control 5-1 13,25,19,21,22.0,3.0,3.0,1.0
CO1 Control 5-1 31,62,50,49,56.0,6.0,6.0,7.0
AO1 Lithium 5-1 18,25,23,26,24.0,1.0,1.0,2.0
NCO1 Lithium 5-1 36,103,91,103,97.0,6.0,6.0,6.0
NCO1 Control 5-1 4,46,33,40,39.5,6.5,6.5,0.5
NCO1 Lithium 5-1 30,115,96,105,105.5,9.5,9.5,0.5
NCO1 Control 5-1 48,63,54,58,58.5,4.5,4.5,0.5
ACO1 Control 5-1 49,8,11,7,9.5,1.5,1.5,2.5
CO1 Control 5-1 45,19,17,18,18.0,1.0,1.0,0.0
NCO1 Control 5-1 7,79,59,56,69.0,10.0,10.0,13.0
NCO1 Lithium 5-1 45,73,62,66,67.5,5.5,5.5,1.5
ACO1 Control 5-1 47,28,26,28,27.0,1.0,1.0,1.0
CO1 Lithium 5-1 17,87,71,92,79.0,8.0,8.0,13.0
AO1 Control 5-1 43,19,19,20,19.0,0.0,0.0,1.0
CO1 Lithium 5-1 25,87,75,88,81.0,6.0,6.0,7.0
CO1 Lithium 5-1 45,87,78,78,82.5,4.5,4.5,4.5
ACO1 Control 5-1 39,31,24,26,27.5,3.5,3.5,1.5
CO1 Lithium 5-1 19,65,52,59,58.5,6.5,6.5,0.5
AO1 Control 5-1 34,38,36,28,37.0,1.0,1.0,9.0
CO1 Lithium 5-1 30,78,59,62,68.5,9.5,9.5,6.5
CO1 Control 5-1 38,46,43,44,44.5,1.5,1.5,0.5
ACO1 Control 5-1 6,15,12,14,13.5,1.5,1.5,0.5
NCO1 Control 5-1 1,60,50,57,55.0,5.0,5.0,2.0
ACO1 Control 5-1 14,32,29,31,30.5,1.5,1.5,0.5
ACO1 Lithium 5-1 44,70,67,76,68.5,1.5,1.5,7.5
AO1 Lithium 5-1 31,25,23,29,24.0,1.0,1.0,5.0
NCO1 Control 5-1 24,75,66,67,70.5,4.5,4.5,3.5
CO1 Lithium 5-1 18,94,78,95,86.0,8.0,8.0,9.0
CO1 Control 5-1 22,26,20,22,23.0,3.0,3.0,1.0
ACO1 Control 5-1 31,59,54,57,56.5,2.5,2.5,0.5
AO1 Lithium 5-1 43,43,33,41,38.0,5.0,5.0,3.0
AO1 Lithium 5-1 25,46,40,47,43.0,3.0,3.0,4.0
CO1 Lithium 5-1 39,83,70,75,76.5,6.5,6.5,1.5
ACO1 Lithium 5-1 50,14,14,13,14.0,0.0,0.0,1.0
ACO1 Lithium 5-1 10,30,25,33,27.5,2.5,2.5,5.5
ACO1 Lithium 5-1 32,32,26,34,29.0,3.0,3.0,5.0
ACO1 Lithium 5-1 31,29,27,29,28.0,1.0,1.0,1.0
AO1 Control 5-1 49,15,11,12,13.0,2.0,2.0,1.0
CO1 Control 5-1 24,50,43,39,46.5,3.5,3.5,7.5
AO1 Lithium 5-1 20,25,20,30,22.5,2.5,2.5,7.5
AO1 Control 5-1 28,5,6,5,5.5,0.5,0.5,0.5
AO1 Control 5-1 47,30,28,28,29.0,1.0,1.0,1.0
NCO1 Control 5-1 40,36,26,27,31.0,5.0,5.0,4.0
ACO1 Control 5-1 25,13,11,12,12.0,1.0,1.0,0.0
NCO1 Control 5-1 15,54,46,42,50.0,4.0,4.0,8.0
CO1 Control 5-1 9,58,45,55,51.5,6.5,6.5,3.5
NCO1 Lithium 5-1 7,87,78,90,82.5,4.5,4.5,7.5
AO1 Control 5-1 35,19,16,16,17.5,1.5,1.5,1.5
ACO1 Control 5-1 18,42,32,32,37.0,5.0,5.0,5.0
CO1 Lithium 5-1 41,117,98,112,107.5,9.5,9.5,4.5
ACO1 Lithium 5-1 43,22,22,19,22.0,0.0,0.0,3.0
ACO1 Lithium 5-1 22,28,26,31,27.0,1.0,1.0,4.0
ACO1 Control 5-1 23,31,29,28,30.0,1.0,1.0,2.0
ACO1 Control 5-1 28,17,14,13,15.5,1.5,1.5,2.5
CO1 Lithium 5-1 26,92,85,84,88.5,3.5,3.5,4.5
NCO1 Control 5-1 10,92,77,87,84.5,7.5,7.5,2.5
ACO1 Control 5-1 43,87,70,76,78.5,8.5,8.5,2.5
CO1 Control 5-1 10,106,93,93,99.5,6.5,6.5,6.5
ACO1 Control 5-1 46,22,15,20,18.5,3.5,3.5,1.5
ACO1 Lithium 5-1 36,16,15,20,15.5,0.5,0.5,4.5
ACO1 Lithium 5-1 35,25,21,22,23.0,2.0,2.0,1.0
CO1 Control 5-1 21,11,7,7,9.0,2.0,2.0,2.0
AO1 Control 5-1 26,16,12,15,14.0,2.0,2.0,1.0
ACO1 Lithium 5-1 17,38,33,34,35.5,2.5,2.5,1.5
NCO1 Lithium 5-1 48,78,62,72,70.0,8.0,8.0,2.0
AO1 Control 5-1 16,37,31,34,34.0,3.0,3.0,0.0
ACO1 Lithium 5-1 48,22,21,22,21.5,0.5,0.5,0.5
CO1 Lithium 5-1 13,69,58,62,63.5,5.5,5.5,1.5
CO1 Lithium 5-1 43,96,83,84,89.5,6.5,6.5,5.5
AO1 Control 5-1 44,33,28,21,30.5,2.5,2.5,9.5
NCO1 Control 5-1 41,55,48,55,51.5,3.5,3.5,3.5
AO1 Lithium 5-1 49,22,20,23,21.0,1.0,1.0,2.0
ACO1 Control 5-1 38,13,12,13,12.5,0.5,0.5,0.5
ACO1 Lithium 5-1 1,22,20,22,21.0,1.0,1.0,1.0
CO1 Control 5-1 43,34,32,35,33.0,1.0,1.0,2.0
AO1 Lithium 5-1 3,28,24,31,26.0,2.0,2.0,5.0
ACO1 Lithium 5-1 25,45,38,45,41.5,3.5,3.5,3.5
NCO1 Lithium 5-1 38,95,86,92,90.5,4.5,4.5,1.5
NCO1 Lithium 5-1 27,96,79,99,87.5,8.5,8.5,11.5
AO1 Control 5-1 21,33,32,36,32.5,0.5,0.5,3.5
NCO1 Control 5-1 50,83,65,84,74.0,9.0,9.0,10.0
AO1 Control 5-1 15,48,42,49,45.0,3.0,3.0,4.0
NCO1 Control 5-1 5,52,39,42,45.5,6.5,6.5,3.5
NCO1 Lithium 5-1 2,110,98,123,104.0,6.0,6.0,19.0
NCO1 Lithium 5-1 34,84,68,70,76.0,8.0,8.0,6.0
ACO1 Control 5-1 13,97,90,91,93.5,3.5,3.5,2.5
ACO1 Lithium 5-1 33,34,31,34,32.5,1.5,1.5,1.5
NCO1 Control 5-1 8,81,71,68,76.0,5.0,5.0,8.0
CO1 Control 5-1 15,88,75,78,81.5,6.5,6.5,3.5
NCO1 Lithium 5-1 24,77,64,100,70.5,6.5,6.5,29.5
NCO1 Lithium 5-1 10,68,45,58,56.5,11.5,11.5,1.5
NCO1 Lithium 5-1 33,106,88,104,97.0,9.0,9.0,7.0
AO1 Control 5-1 4,37,35,33,36.0,1.0,1.0,3.0
NCO1 Control 5-1 22,71,53,67,62.0,9.0,9.0,5.0
ACO1 Lithium 5-1 37,32,31,31,31.5,0.5,0.5,0.5
ACO1 Lithium 5-1 3,53,47,60,50.0,3.0,3.0,10.0
ACO1 Lithium 5-1 29,18,17,16,17.5,0.5,0.5,1.5
AO1 Lithium 5-1 29,22,22,24,22.0,0.0,0.0,2.0
NCO1 Lithium 5-1 4,89,77,78,83.0,6.0,6.0,5.0
CO1 Lithium 5-1 14,89,74,95,81.5,7.5,7.5,13.5
CO1 Lithium 5-1 5,53,49,53,51.0,2.0,2.0,2.0
AO1 Control 5-1 11,29,24,25,26.5,2.5,2.5,1.5
CO1 Control 5-1 17,16,13,12,14.5,1.5,1.5,2.5
ACO1 Control 5-1 32,24,19,23,21.5,2.5,2.5,1.5
NCO1 Lithium 5-1 39,40,35,41,37.5,2.5,2.5,3.5
AO1 Lithium 5-1 30,44,42,45,43.0,1.0,1.0,2.0
CO1 Lithium 5-1 38,67,57,61,62.0,5.0,5.0,1.0
NCO1 Control 5-1 27,49,44,44,46.5,2.5,2.5,2.5
NCO1 Lithium 5-1 47,72,56,66,64.0,8.0,8.0,2.0
CO1 Lithium 5-1 21,73,52,69,62.5,10.5,10.5,6.5
NCO1 Control 5-1 29,54,42,52,48.0,6.0,6.0,4.0
CO1 Lithium 5-1 6,103,80,91,91.5,11.5,11.5,0.5
ACO1 Control 5-1 35,55,47,43,51.0,4.0,4.0,8.0
CO1 Lithium 5-1 31,87,73,92,80.0,7.0,7.0,12.0
NCO1 Lithium 5-1 12,97,85,96,91.0,6.0,6.0,5.0
NCO1 Control 5-1 49,51,45,46,48.0,3.0,3.0,2.0
AO1 Control 5-1 10,31,27,26,29.0,2.0,2.0,3.0
NCO1 Lithium 5-1 35,82,71,82,76.5,5.5,5.5,5.5
CO1 Lithium 5-1 48,85,74,86,79.5,5.5,5.5,6.5
NCO1 Lithium 5-1 28,108,85,102,96.5,11.5,11.5,5.5
ACO1 Lithium 5-1 42,8,8,12,8.0,0.0,0.0,4.0
ACO1 Lithium 5-1 15,34,31,38,32.5,1.5,1.5,5.5
AO1 Lithium 5-1 9,36,31,34,33.5,2.5,2.5,0.5
NCO1 Lithium 5-1 44,105,91,100,98.0,7.0,7.0,2.0
ACO1 Control 5-1 7,65,56,53,60.5,4.5,4.5,7.5
CO1 Control 5-1 7,73,69,67,71.0,2.0,2.0,4.0
NCO1 Control 5-1 21,77,69,74,73.0,4.0,4.0,1.0
ACO1 Lithium 5-1 5,15,13,15,14.0,1.0,1.0,1.0
AO1 Lithium 5-1 42,22,18,20,20.0,2.0,2.0,0.0
AO1 Control 5-1 23,45,39,49,42.0,3.0,3.0,7.0
CO1 Control 5-1 30,32,26,25,29.0,3.0,3.0,4.0
AO1 Control 5-1 39,42,43,41,42.5,0.5,0.5,1.5
NCO1 Control 5-1 32,70,64,60,67.0,3.0,3.0,7.0
CO1 Control 5-1 20,75,57,64,66.0,9.0,9.0,2.0
ACO1 Control 5-1 11,12,11,10,11.5,0.5,0.5,1.5
CO1 Control 5-1 13,54,48,46,51.0,3.0,3.0,5.0
CO1 Control 5-1 35,52,46,45,49.0,3.0,3.0,4.0
CO1 Lithium 5-1 15,111,98,109,104.5,6.5,6.5,4.5
NCO1 Lithium 5-1 8,117,95,122,106.0,11.0,11.0,16.0
NCO1 Control 5-1 43,74,59,57,66.5,7.5,7.5,9.5
ACO1 Lithium 5-1 27,45,41,46,43.0,2.0,2.0,3.0
ACO1 Lithium 5-1 23,23,22,23,22.5,0.5,0.5,0.5
AO1 Control 5-1 25,26,22,26,24.0,2.0,2.0,2.0
AO1 Lithium 5-1 48,35,32,35,33.5,1.5,1.5,1.5
ACO1 Control 5-1 42,35,27,28,31.0,4.0,4.0,3.0
AO1 Lithium 5-1 41,13,15,15,14.0,1.0,1.0,1.0
AO1 Control 5-1 33,40,38,38,39.0,1.0,1.0,1.0
AO1 Lithium 5-1 34,24,22,27,23.0,1.0,1.0,4.0
NCO1 Control 5-1 33,73,66,68,69.5,3.5,3.5,1.5
CO1 Control 5-1 18,57,47,44,52.0,5.0,5.0,8.0
CO1 Control 5-1 25,71,57,74,64.0,7.0,7.0,10.0
CO1 Lithium 5-1 24,79,67,71,73.0,6.0,6.0,2.0
AO1 Control 5-1 6,23,22,24,22.5,0.5,0.5,1.5
NCO1 Lithium 5-1 41,83,67,86,75.0,8.0,8.0,11.0
AO1 Control 5-1 3,10,9,8,9.5,0.5,0.5,1.5
CO1 Lithium 5-1 10,77,62,82,69.5,7.5,7.5,12.5
ACO1 Lithium 5-1 7,33,30,31,31.5,1.5,1.5,0.5
CO1 Control 5-1 6,66,52,55,59.0,7.0,7.0,4.0
AO1 Lithium 5-1 14,14,15,12,14.5,0.5,0.5,2.5
AO1 Lithium 5-1 5,9,9,11,9.0,0.0,0.0,2.0
NCO1 Lithium 5-1 49,85,74,89,79.5,5.5,5.5,9.5
AO1 Lithium 5-1 4,35,34,37,34.5,0.5,0.5,2.5
ACO1 Lithium 5-1 20,17,12,17,14.5,2.5,2.5,2.5
NCO1 Control 5-1 23,102,86,93,94.0,8.0,8.0,1.0
AO1 Lithium 5-1 33,37,31,37,34.0,3.0,3.0,3.0
NCO1 Lithium 5-1 21,93,82,92,87.5,5.5,5.5,4.5
NCO1 Lithium 5-1 9,106,86,100,96.0,10.0,10.0,4.0
NCO1 Control 5-1 11,89,74,62,81.5,7.5,7.5,19.5
NCO1 Lithium 5-1 40,97,84,100,90.5,6.5,6.5,9.5
CO1 Control 5-1 37,75,67,74,71.0,4.0,4.0,3.0
NCO1 Control 5-1 3,66,60,81,63.0,3.0,3.0,18.0
ACO1 Lithium 5-1 6,39,33,39,36.0,3.0,3.0,3.0
AO1 Lithium 5-1 16,27,26,30,26.5,0.5,0.5,3.5
CO1 Control 5-1 41,96,77,78,86.5,9.5,9.5,8.5
CO1 Lithium 5-1 49,86,71,85,78.5,7.5,7.5,6.5
NCO1 Control 5-1 31,58,41,43,49.5,8.5,8.5,6.5
ACO1 Lithium 5-1 24,26,23,26,24.5,1.5,1.5,1.5
AO1 Lithium 5-1 12,34,33,33,33.5,0.5,0.5,0.5
ACO1 Control 5-1 36,26,24,27,25.0,1.0,1.0,2.0
CO1 Lithium 5-1 50,81,71,86,76.0,5.0,5.0,10.0
AO1 Control 5-1 45,25,24,26,24.5,0.5,0.5,1.5
CO1 Control 5-1 39,33,26,22,29.5,3.5,3.5,7.5
AO1 Control 5-1 50,34,29,39,31.5,2.5,2.5,7.5
ACO1 Control 5-1 19,29,24,31,26.5,2.5,2.5,4.5
CO1 Control 5-1 23,23,19,23,21.0,2.0,2.0,2.0
NCO1 Control 5-1 19,81,67,67,74.0,7.0,7.0,7.0
AO1 Lithium 5-1 10,19,18,21,18.5,0.5,0.5,2.5
AO1 Control 5-1 12,23,21,26,22.0,1.0,1.0,4.0
AO1 Control 5-1 8,41,40,42,40.5,0.5,0.5,1.5
AO1 Lithium 5-1 11,32,31,30,31.5,0.5,0.5,1.5
CO1 Lithium 5-1 28,62,59,60,60.5,1.5,1.5,0.5
AO1 Control 5-1 1,19,18,18,18.5,0.5,0.5,0.5
ACO1 Lithium 5-1 16,12,10,12,11.0,1.0,1.0,1.0
ACO1 Control 5-1 34,25,23,21,24.0,1.0,1.0,3.0
NCO1 Control 5-1 42,77,66,93,71.5,5.5,5.5,21.5
AO1 Control 5-1 9,19,19,18,19.0,0.0,0.0,1.0
ACO1 Control 5-1 50,27,26,24,26.5,0.5,0.5,2.5
ACO1 Control 5-1 17,13,14,16,13.5,0.5,0.5,2.5
NCO1 Lithium 5-1 22,86,74,89,80.0,6.0,6.0,9.0
AO1 Lithium 5-1 22,23,21,25,22.0,1.0,1.0,3.0
NCO1 Control 5-1 13,42,37,37,39.5,2.5,2.5,2.5
NCO1 Lithium 5-1 6,69,56,52,62.5,6.5,6.5,10.5
AO1 Lithium 5-1 47,47,42,50,44.5,2.5,2.5,5.5
AO1 Control 5-1 18,12,12,11,12.0,0.0,0.0,1.0
AO1 Control 5-1 38,17,16,14,16.5,0.5,0.5,2.5
AO1 Lithium 5-1 36,35,25,30,30.0,5.0,5.0,0.0
CO1 Control 5-1 47,65,57,59,61.0,4.0,4.0,2.0
ACO1 Lithium 5-1 21,9,9,8,9.0,0.0,0.0,1.0
AO1 Control 5-1 5,14,12,14,13.0,1.0,1.0,1.0
CO1 Control 5-1 11,61,48,52,54.5,6.5,6.5,2.5
NCO1 Control 5-1 20,73,68,72,70.5,2.5,2.5,1.5
ACO1 Lithium 5-1 39,21,19,17,20.0,1.0,1.0,3.0
CO1 Control 5-1 5,57,39,51,48.0,9.0,9.0,3.0
ACO1 Control 5-1 15,14,13,12,13.5,0.5,0.5,1.5
AO1 Lithium 5-1 38,34,35,36,34.5,0.5,0.5,1.5
AO1 Control 5-1 42,17,17,16,17.0,0.0,0.0,1.0
CO1 Control 5-1 3,95,81,76,88.0,7.0,7.0,12.0
AO1 Lithium 5-1 37,46,41,43,43.5,2.5,2.5,0.5
CO1 Control 5-1 32,34,26,28,30.0,4.0,4.0,2.0
AO1 Control 5-1 40,16,16,16,16.0,0.0,0.0,0.0
CO1 Lithium 5-1 11,49,41,46,45.0,4.0,4.0,1.0
ACO1 Control 5-1 22,36,32,30,34.0,2.0,2.0,4.0
CO1 Control 5-1 46,50,40,42,45.0,5.0,5.0,3.0
ACO1 Lithium 5-1 13,24,20,24,22.0,2.0,2.0,2.0
NCO1 Control 5-1 25,95,83,99,89.0,6.0,6.0,10.0
AO1 Control 5-1 20,20,18,16,19.0,1.0,1.0,3.0
NCO1 Lithium 5-1 46,90,79,84,84.5,5.5,5.5,0.5
NCO1 Control 5-1 37,54,47,50,50.5,3.5,3.5,0.5
ACO1 Control 5-1 37,12,11,9,11.5,0.5,0.5,2.5
AO1 Control 5-1 37,7,7,7,7.0,0.0,0.0,0.0
ACO1 Lithium 5-1 34,26,26,25,26.0,0.0,0.0,1.0
AO1 Lithium 5-1 26,34,33,44,33.5,0.5,0.5,10.5
CO1 Control 5-1 42,56,43,48,49.5,6.5,6.5,1.5
AO1 Control 5-1 36,27,24,30,25.5,1.5,1.5,4.5
AO1 Lithium 5-1 45,45,42,50,43.5,1.5,1.5,6.5
ACO1 Lithium 5-1 18,24,23,22,23.5,0.5,0.5,1.5
AO1 Control 5-1 22,30,27,39,28.5,1.5,1.5,10.5
AO1 Control 5-1 31,22,21,17,21.5,0.5,0.5,4.5
ACO1 Control 5-1 3,11,13,13,12.0,1.0,1.0,1.0
AO1 Control 5-1 27,8,8,8,8.0,0.0,0.0,0.0
ACO1 Lithium 5-1 11,44,34,42,39.0,5.0,5.0,3.0
CO1 Control 5-1 27,25,18,20,21.5,3.5,3.5,1.5
CO1 Lithium 5-1 27,77,69,71,73.0,4.0,4.0,2.0
AO1 Lithium 5-1 24,12,13,13,12.5,0.5,0.5,0.5
CO1 Lithium 5-1 9,76,65,72,70.5,5.5,5.5,1.5
CO1 Lithium 5-1 44,85,70,91,77.5,7.5,7.5,13.5
NCO1 Control 5-1 45,55,40,43,47.5,7.5,7.5,4.5
ACO1 Lithium 5-1 19,28,23,28,25.5,2.5,2.5,2.5
ACO1 Control 5-1 24,26,18,21,22.0,4.0,4.0,1.0
CO1 Control 5-1 2,7,7,6,7.0,0.0,0.0,1.0
AO1 Lithium 5-1 40,1,1,1,1.0,0.0,0.0,0.0
ACO1 Lithium 5-1 26,41,39,49,40.0,1.0,1.0,9.0
ACO1 Control 5-1 44,38,33,27,35.5,2.5,2.5,8.5
ACO1 Control 5-1 12,11,12,11,11.5,0.5,0.5,0.5
AO1 Control 5-1 41,13,13,13,13.0,0.0,0.0,0.0
ACO1 Control 5-1 41,7,7,7,7.0,0.0,0.0,0.0
ACO1 Control 5-1 2,26,20,22,23.0,3.0,3.0,1.0
NCO1 Control 5-1 30,7,7,7,7.0,0.0,0.0,0.0
CO1 Control 5-1 48,48,31,41,39.5,8.5,8.5,1.5
NCO1 Control 5-1 34,21,16,17,18.5,2.5,2.5,1.5
ACO1 Control 5-1 9,5,5,2,5.0,0.0,0.0,3.0
CO1 Control 5-1 36,36,34,27,35.0,1.0,1.0,8.0
ACO1 Lithium 5-1 45,6,7,6,6.5,0.5,0.5,0.5
ACO1 Lithium 5-1 4,25,20,26,22.5,2.5,2.5,3.5
CO1 Control 5-1 29,32,21,31,26.5,5.5,5.5,4.5
CO1 Control 5-1 28,22,15,18,18.5,3.5,3.5,0.5
ACO1 Control 5-1 5,29,23,20,26.0,3.0,3.0,6.0
AO1 Lithium 5-1 44,12,10,7,11.0,1.0,1.0,4.0
ACO1 Lithium 5-1 2,7,6,7,6.5,0.5,0.5,0.5
AO1 Control 5-1 32,1,2,0,1.5,0.5,0.5,1.5
AO1 Control 5-1 7,13,10,11,11.5,1.5,1.5,0.5
NCO1 Control 5-1 16,22,18,25,20.0,2.0,2.0,5.0
ACO1 Control 5-1 20,5,4,5,4.5,0.5,0.5,0.5
CO1 Lithium 5-1 42,2,2,1,2.0,0.0,0.0,1.0
ACO1 Lithium 5-1 14,0,1,1,0.5,0.5,0.5,0.5
ACO1 Control 5-1 27,2,2,2,2.0,0.0,0.0,0.0
AO1 Lithium 5-1 6,1,2,1,1.5,0.5,0.5,0.5
