RootImage,BotSum,HumanSum
CO1 Lithium 5-4 41,122,106
CO1 Control 5-4 9,95,79
ACO1 Control 5-4 30,0,0
ACO1 Lithium 5-4 32,0,0
ACO1 Lithium 5-4 6,29,26
AO1 Control 5-4 21,45,36
CO1 Control 5-4 24,0,0
ACO1 Control 5-4 19,32,24
ACO1 Control 5-4 42,23,25
CO1 Lithium 5-4 2,95,86
ACO1 Control 5-4 35,30,30
ACO1 Control 5-4 29,1,0
AO1 Lithium 5-4 14,6,4
ACO1 Lithium 5-4 35,0,0
AO1 Lithium 5-4 16,33,22
CO1 Lithium 5-4 48,89,101
ACO1 Lithium 5-4 40,3,9
CO1 Control 5-4 25,7,0
ACO1 Lithium 5-4 28,0,0
nCO1 Lithium 5-4 37,3,3
AO1 Control 5-4 22,68,31
ACO1 Control 5-4 34,35,36
ACO1 Lithium 5-4 41,30,27
ACO1 Control 5-4 28,1,0
ACO1 Lithium 5-4 34,0,0
nCO1 Lithium 5-4 1,89,80
CO1 Lithium 5-4 49,0,0
AO1 Lithium 5-4 17,13,13
nCO1 Control 5-4 35,47,23
AO1 Lithium 5-4 20,17,18
AO1 Lithium 5-4 5,2,2
CO1 Lithium 5-4 10,81,86
AO1 Lithium 5-4 15,20,10
nCO1 Lithium 5-4 29,94,92
nCO1 Lithium 5-4 45,85,67
AO1 Control 5-4 20,13,5
nCO1 Control 5-4 8,68,77
nCO1 Lithium 5-4 44,101,101
AO1 Lithium 5-4 12,32,28
ACO1 Lithium 5-4 37,0,0
AO1 Control 5-4 10,0,0
ACO1 Lithium 5-4 29,2,3
AO1 Control 5-4 8,45,40
CO1 Control 5-4 50,57,46
nCO1 Control 5-4 36,14,1
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 26,5,5
AO1 Lithium 5-4 24,7,12
ACO1 Control 5-4 3,5,10
CO1 Control 5-4 20,90,83
nCO1 Lithium 5-4 33,1,0
AO1 Lithium 5-4 7,38,49
nCO1 Control 5-4 37,91,63
ACO1 Lithium 5-4 36,35,26
AO1 Control 5-4 50,17,23
CO1 Control 5-4 12,79,69
ACO1 Control 5-4 2,35,30
AO1 Control 5-4 15,32,35
nCO1 Control 5-4 47,1,0
nCO1 Lithium 5-4 42,103,91
AO1 Lithium 5-4 26,24,21
CO1 Control 5-4 13,74,66
CO1 Control 5-4 26,111,105
nCO1 Control 5-4 46,84,62
nCO1 Control 5-4 41,125,111
CO1 Lithium 5-4 15,126,125
nCO1 Control 5-4 33,112,94
CO1 Control 5-4 38,98,75
CO1 Lithium 5-4 24,81,69
AO1 Lithium 5-4 23,0,0
AO1 Lithium 5-4 10,36,30
CO1 Control 5-4 11,3,0
AO1 Control 5-4 16,31,37
ACO1 Lithium 5-4 47,3,0
nCO1 Lithium 5-4 7,93,88
CO1 Control 5-4 39,73,64
CO1 Lithium 5-4 25,89,90
ACO1 Control 5-4 44,60,48
ACO1 Lithium 5-4 31,14,11
nCO1 Control 5-4 45,47,29
AO1 Control 5-4 17,5,0
nCO1 Lithium 5-4 35,0,0
nCO1 Control 5-4 40,82,74
AO1 Lithium 5-4 50,12,5
ACO1 Lithium 5-4 46,11,18
nCO1 Lithium 5-4 34,1,0
nCO1 Lithium 5-4 31,54,56
CO1 Control 5-4 27,69,62
nCO1 Lithium 5-4 47,69,61
nCO1 Lithium 5-4 3,11,4
nCO1 Lithium 5-4 46,107,97
ACO1 Control 5-4 37,23,22
ACO1 Control 5-4 32,32,35
ACO1 Lithium 5-4 19,53,35
AO1 Control 5-4 24,7,0
AO1 Lithium 5-4 11,28,13
ACO1 Lithium 5-4 30,4,0
nCO1 Lithium 5-4 18,56,58
ACO1 Control 5-4 40,1,0
AO1 Lithium 5-4 3,1,1
nCO1 Lithium 5-4 5,52,61
AO1 Control 5-4 49,25,23
AO1 Lithium 5-4 13,0,0
nCO1 Lithium 5-4 30,5,5
nCO1 Lithium 5-4 32,2,10
CO1 Lithium 5-4 6,4,0
AO1 Control 5-4 11,46,45
nCO1 Lithium 5-4 4,73,75
nCO1 Lithium 5-4 40,75,79
ACO1 Control 5-4 43,5,1
AO1 Lithium 5-4 2,2,2
AO1 Lithium 5-4 27,0,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 25,26,18
CO1 Lithium 5-4 50,55,54
AO1 Control 5-4 48,35,25
CO1 Control 5-4 21,78,69
nCO1 Lithium 5-4 43,0,10
nCO1 Control 5-4 9,0,0
AO1 Control 5-4 38,7,4
AO1 Lithium 5-4 38,30,25
CO1 Control 5-4 16,95,60
CO1 Control 5-4 2,43,23
CO1 Lithium 5-4 22,45,55
AO1 Lithium 5-4 25,0,0
AO1 Control 5-4 39,31,35
ACO1 Lithium 5-4 43,0,0
AO1 Control 5-4 12,35,47
AO1 Lithium 5-4 39,0,0
ACO1 Control 5-4 7,19,23
nCO1 Control 5-4 30,51,55
AO1 Control 5-4 27,8,3
ACO1 Lithium 5-4 42,40,37
ACO1 Control 5-4 4,0,0
ACO1 Control 5-4 18,29,22
ACO1 Control 5-4 5,21,15
CO1 Control 5-4 8,45,60
nCO1 Control 5-4 23,101,100
nCO1 Control 5-4 31,90,71
CO1 Lithium 5-4 14,0,0
ACO1 Lithium 5-4 8,52,61
AO1 Lithium 5-4 48,17,15
ACO1 Lithium 5-4 9,29,31
AO1 Lithium 5-4 49,17,8
nCO1 Control 5-4 22,103,75
CO1 Lithium 5-4 46,43,52
AO1 Lithium 5-4 47,33,23
