CD_RootImage,BotSum,HumanSum
2 23 C2 56.jpg,35,49.0
3 5 D2 21.jpg,59,62.0
3 5 C1 40.jpg,39,66.0
3 2 D3 31.jpg,78,72.0
3 2 C5 19.jpg,70,82.0
3 5 D2 58.jpg,19,22.0
3 5 C4 56.jpg,42,42.0
2 24 C3 14.jpg,41,39.0
2 27 D2 49.jpg,88,87.0
2 28 C2 46.jpg,61,82.0
3 1 C5 39.jpg,61,59.0
3 3 C5 3.jpg,52,36.0
2 21 D1 60.jpg,13,15.0
3 9 C4 3.jpg,56,78.0
2 25 C4 40.jpg,59,40.0
2 27 C4 28.jpg,45,34.0
3 5 D1 21.jpg,2,2.0
3 8 D5 46.jpg,56,54.0
3 3 D1 18.jpg,41,46.0
3 8 C3 50.jpg,27,42.0
3 3 C1 3.jpg,78,75.0
3 6 C1 10.jpg,23,33.0
3 5 C1 24.jpg,13,26.0
3 1 C3 15.jpg,43,74.0
3 5 D5 13.jpg,53,53.0
2 25 D3 36.jpg,75,80.0
2 25 C4 56.jpg,31,37.0
3 7 C3 18.jpg,42,46.0
3 8 C5 31.jpg,63,43.0
3 10 C5 27.jpg,1,12.0
3 2 D5 51.jpg,54,65.0
3 2 C4 15.jpg,56,71.0
2 28 C2 12.jpg,69,107.0
2 25 C5 33.jpg,8,13.0
3 10 C5 31.jpg,70,51.0
2 23 C3 32.jpg,15,23.0
3 4 D1 29.jpg,50,60.0
2 27 C4 47.jpg,78,87.0
3 2 C1 60.jpg,11,28.0
3 7 D3 43.jpg,45,47.0
3 1 C4 36.jpg,46,46.0
2 24 C2 13.jpg,86,85.0
3 7 C5 25.jpg,28,38.0
3 2 D1 38.jpg,78,88.0
2 26 C5 43.jpg,57,53.0
3 3 D5 26.jpg,39,35.0
3 2 C1 59.jpg,78,78.0
2 27 D4 51.jpg,65,54.0
3 4 C4 30.jpg,89,71.0
3 6 C2 40.jpg,40,52.0
2 27 D3 6.jpg,99,60.0
3 2 D1 6.jpg,2,2.0
2 27 D2 24.jpg,69,69.0
3 9 C5 7.jpg,49,38.0
2 23 C2 39.jpg,25,34.0
2 27 C5 22.jpg,62,67.0
2 25 D4 33.jpg,62,64.0
3 2 D5 25.jpg,1,2.0
3 7 C5 3.jpg,48,39.0
3 7 C5 22.jpg,105,81.0
3 4 C5 48.jpg,74,66.0
3 2 D2 33.jpg,64,61.0
3 1 D4 49.jpg,73,70.0
2 24 D2 2.jpg,71,84.0
3 2 D2 58.jpg,31,38.0
2 26 C5 14.jpg,34,56.0
2 27 C1 46.jpg,39,49.0
2 23 C3 53.jpg,10,12.0
2 24 D2 7.jpg,58,59.0
2 24 C4 11.jpg,41,39.0
2 24 C4 2.jpg,1,7.0
3 2 D3 33.jpg,74,71.0
3 5 C2 60.jpg,5,0.0
3 1 D1 26.jpg,53,56.0
3 4 C2 35.jpg,80,75.0
3 2 C3 43.jpg,66,71.0
3 6 D3 17.jpg,43,54.0
2 21 C1 45.jpg,13,27.0
3 8 C5 43.jpg,34,25.0
3 1 C2 3.jpg,57,90.0
3 3 C1 9.jpg,33,48.0
2 24 C3 49.jpg,28,41.0
3 7 D2 47.jpg,13,1.0
2 27 D3 30.jpg,53,64.0
3 3 C2 46.jpg,73,68.0
2 27 C2 2.jpg,70,64.0
3 7 C3 28.jpg,68,59.0
2 24 D4 50.jpg,9,10.0
2 25 D1 59.jpg,25,28.0
2 28 C1 42.jpg,46,56.0
2 24 C2 38.jpg,45,44.0
3 7 C2 7.jpg,30,26.0
2 23 D2 11.jpg,47,40.0
3 3 D5 28.jpg,73,45.0
3 6 D5 4.jpg,83,67.0
3 4 C5 22.jpg,79,75.0
2 25 D5 25.jpg,32,23.0
2 23 D2 43.jpg,40,53.0
2 23 D2 48.jpg,60,58.0
2 23 D3 37.jpg,8,8.0
3 9 C4 27.jpg,72,71.0
3 7 C4 3.jpg,49,45.0
3 2 C5 5.jpg,85,88.0
2 27 C3 49.jpg,28,47.0
2 24 D3 33.jpg,14,40.0
2 25 D4 45.jpg,39,58.0
3 1 C1 44.jpg,69,63.0
3 3 D3 13.jpg,45,54.0
3 5 C1 28.jpg,31,50.0
3 4 C5 40.jpg,65,56.0
3 7 C2 31.jpg,33,35.0
3 2 D5 10.jpg,47,58.0
3 8 D5 22.jpg,58,56.0
3 5 C2 40.jpg,57,65.0
2 28 D5 11.jpg,99,79.0
3 2 C1 58.jpg,26,37.0
3 7 D4 46.jpg,61,57.0
2 22 D1 50.jpg,28,45.0
3 3 C4 34.jpg,68,65.0
3 7 D5 21.jpg,57,86.0
2 25 D4 26.jpg,54,46.0
3 1 C4 2.jpg,38,39.0
3 4 C3 1.jpg,2,0.0
2 23 C3 29.jpg,33,45.0
2 24 C4 50.jpg,28,37.0
2 23 C3 14.jpg,11,15.0
2 24 C1 44.jpg,73,68.0
3 10 D5 60.jpg,67,90.0
2 27 C2 40.jpg,71,73.0
2 26 D5 38.jpg,26,45.0
2 27 C4 16.jpg,66,58.0
2 24 D4 9.jpg,8,10.0
2 23 C2 36.jpg,62,56.0
2 28 D1 53.jpg,63,65.0
2 26 D5 14.jpg,51,53.0
2 27 C3 54.jpg,32,46.0
2 27 C5 21.jpg,62,50.0
3 2 D2 21.jpg,58,55.0
3 3 D4 22.jpg,62,55.0
3 4 C3 57.jpg,39,40.0
2 25 C5 7.jpg,19,15.0
2 25 D3 17.jpg,54,46.0
3 7 D5 2.jpg,61,40.0
3 2 D3 22.jpg,34,40.0
2 24 D2 8.jpg,87,76.0
2 23 C1 21.jpg,19,37.0
3 3 D4 43.jpg,75,57.0
2 25 D1 26.jpg,74,65.0
3 3 C3 55.jpg,79,74.0
2 27 C2 13.jpg,101,86.0
2 28 C4 2.jpg,49,70.0
3 6 D1 20.jpg,49,40.0
3 6 D2 24.jpg,52,38.0
3 5 C1 12.jpg,4,0.0
2 23 D3 11.jpg,17,19.0
3 8 D5 41.jpg,60,74.0
3 2 D2 11.jpg,54,73.0
2 28 D5 31.jpg,65,78.0
2 27 D3 42.jpg,57,53.0
2 24 C3 9.jpg,48,41.0
3 6 C1 26.jpg,67,65.0
3 6 C2 25.jpg,70,60.0
2 27 C5 43.jpg,62,63.0
3 1 D5 7.jpg,82,70.0
3 3 D2 47.jpg,57,52.0
3 4 C1 34.jpg,68,48.0
2 24 D1 54.jpg,76,76.0
3 1 C3 16.jpg,25,42.0
2 26 C3 38.jpg,52,60.0
3 7 D3 58.jpg,31,49.0
3 4 C4 29.jpg,37,26.0
2 26 C1 57.jpg,57,79.0
3 9 D5 5.jpg,31,56.0
3 7 D4 45.jpg,45,58.0
2 27 C4 33.jpg,62,47.0
2 22 D1 16.jpg,67,65.0
3 6 C5 52.jpg,45,49.0
3 4 C5 13.jpg,63,66.0
3 2 C1 23.jpg,54,63.0
2 28 D5 20.jpg,77,72.0
2 22 D1 52.jpg,55,60.0
2 26 C5 17.jpg,61,24.0
2 24 C4 47.jpg,22,43.0
2 27 C3 24.jpg,0,2.0
3 8 C4 51.jpg,27,27.0
2 24 D1 24.jpg,39,51.0
2 26 D2 43.jpg,101,89.0
3 1 D4 46.jpg,54,60.0
3 9 D5 12.jpg,1,0.0
3 1 D4 29.jpg,40,60.0
3 3 D5 36.jpg,27,24.0
3 2 C5 46.jpg,56,51.0
3 3 C4 53.jpg,75,80.0
2 27 C5 11.jpg,40,42.0
3 8 D5 49.jpg,47,54.0
3 6 D4 4.jpg,30,33.0
3 5 C5 13.jpg,31,42.0
3 10 C5 46.jpg,27,44.0
2 25 D3 8.jpg,82,66.0
3 2 C4 35.jpg,79,75.0
2 23 C1 3.jpg,32,74.0
3 2 C1 12.jpg,30,59.0
2 24 C1 10.jpg,69,65.0
3 7 C5 26.jpg,36,45.0
3 2 C2 14.jpg,2,4.0
3 2 D2 60.jpg,2,1.0
2 25 D4 27.jpg,15,29.0
3 10 C5 15.jpg,0,17.0
3 2 C4 42.jpg,61,63.0
3 7 C2 39.jpg,52,56.0
3 7 C3 1.jpg,1,1.0
3 1 D2 19.jpg,49,71.0
2 23 C2 55.jpg,32,59.0
2 24 D2 24.jpg,67,68.0
3 7 C5 21.jpg,33,64.0
2 27 C2 41.jpg,50,46.0
3 1 D2 8.jpg,54,58.0
3 6 C4 55.jpg,76,68.0
2 22 C1 51.jpg,21,28.0
2 24 C4 8.jpg,5,6.0
2 25 D4 41.jpg,60,44.0
2 27 C2 55.jpg,37,35.0
3 7 D4 58.jpg,2,1.0
2 27 C2 16.jpg,39,39.0
3 1 D2 2.jpg,84,88.0
3 6 D2 22.jpg,35,35.0
3 1 D2 21.jpg,58,59.0
3 8 C5 16.jpg,29,42.0
3 2 D3 55.jpg,56,56.0
3 8 C3 47.jpg,32,45.0
2 22 C2 5.jpg,6,7.0
2 23 C2 33.jpg,32,56.0
2 24 C2 50.jpg,29,45.0
2 25 D3 45.jpg,55,60.0
2 27 D1 59.jpg,9,33.0
3 7 D4 43.jpg,68,58.0
3 4 D5 59.jpg,95,77.0
2 27 D1 24.jpg,17,55.0
2 23 C1 38.jpg,69,78.0
3 8 C5 30.jpg,46,32.0
3 6 C3 41.jpg,21,29.0
2 27 D5 17.jpg,51,59.0
3 2 C5 27.jpg,56,61.0
3 1 D3 10.jpg,66,62.0
3 3 D3 42.jpg,64,36.0
2 24 D3 58.jpg,28,32.0
3 8 D5 54.jpg,40,60.0
2 28 D2 18.jpg,61,72.0
3 2 C5 12.jpg,29,39.0
2 28 D5 15.jpg,108,78.0
2 26 D1 25.jpg,45,56.0
3 4 D5 6.jpg,79,87.0
3 1 D3 48.jpg,35,59.0
2 28 C1 8.jpg,64,72.0
3 8 D3 30.jpg,39,45.0
3 1 D2 12.jpg,48,59.0
3 5 C1 13.jpg,52,62.0
2 22 D2 17.jpg,5,17.0
2 27 D5 53.jpg,50,48.0
2 26 C3 51.jpg,21,42.0
3 9 D4 34.jpg,10,12.0
2 27 C2 6.jpg,46,49.0
3 1 C4 11.jpg,70,49.0
3 9 D4 14.jpg,49,65.0
3 1 C2 27.jpg,24,20.0
2 25 D5 1.jpg,20,23.0
3 2 C3 38.jpg,69,79.0
2 24 D2 10.jpg,67,61.0
3 7 D5 41.jpg,44,82.0
3 1 C5 33.jpg,93,88.0
3 2 D4 34.jpg,39,54.0
3 6 C2 52.jpg,47,49.0
2 22 D2 37.jpg,6,14.0
2 28 D4 16.jpg,70,92.0
3 4 C2 49.jpg,64,41.0
3 1 D5 4.jpg,118,101.0
2 27 C4 25.jpg,62,69.0
3 2 D5 56.jpg,31,31.0
2 28 D5 17.jpg,95,79.0
3 8 D4 19.jpg,77,69.0
3 7 D3 48.jpg,1,0.0
2 26 C5 41.jpg,25,26.0
3 6 D1 30.jpg,20,37.0
3 3 C5 37.jpg,47,61.0
3 2 D5 19.jpg,38,52.0
3 9 C4 8.jpg,42,41.0
2 25 C2 13.jpg,106,108.0
3 2 C1 43.jpg,42,57.0
3 6 D2 44.jpg,28,30.0
3 5 D4 22.jpg,78,54.0
2 27 C2 60.jpg,42,53.0
3 2 C5 52.jpg,64,58.0
2 28 D4 59.jpg,102,84.0
3 8 C5 49.jpg,1,3.0
3 5 D5 20.jpg,29,66.0
3 2 D5 22.jpg,49,67.0
3 1 C3 22.jpg,35,40.0
3 6 D1 28.jpg,59,48.0
3 2 C3 8.jpg,63,59.0
3 2 D5 40.jpg,72,72.0
3 4 C2 25.jpg,37,34.0
3 1 C3 3.jpg,56,89.0
2 24 D1 33.jpg,69,74.0
3 7 C3 52.jpg,67,78.0
2 26 C5 33.jpg,41,58.0
2 26 C1 3.jpg,34,51.0
3 7 C2 56.jpg,36,39.0
3 6 D1 50.jpg,12,0.0
3 4 C5 43.jpg,64,60.0
2 28 C4 9.jpg,12,32.0
3 3 C1 44.jpg,38,64.0
3 8 C4 40.jpg,9,3.0
2 23 C3 11.jpg,11,23.0
3 9 D4 31.jpg,0,1.0
3 4 C1 35.jpg,37,27.0
2 24 D3 19.jpg,45,44.0
2 26 D3 9.jpg,36,35.0
2 28 C3 14.jpg,38,32.0
3 5 D3 41.jpg,34,43.0
3 7 D2 5.jpg,54,60.0
2 26 D4 23.jpg,86,93.0
2 27 C4 51.jpg,72,49.0
2 22 C1 54.jpg,20,27.0
3 1 D2 11.jpg,85,80.0
2 22 C2 11.jpg,11,11.0
2 24 D4 25.jpg,12,10.0
3 1 C3 6.jpg,55,72.0
3 2 C2 60.jpg,23,20.0
2 27 C1 34.jpg,45,43.0
2 24 C3 30.jpg,47,42.0
3 7 D4 39.jpg,25,23.0
3 7 C2 29.jpg,58,41.0
3 1 C3 12.jpg,1,0.0
2 26 C4 39.jpg,61,64.0
3 5 D5 58.jpg,60,58.0
3 6 C4 20.jpg,73,88.0
3 2 D4 55.jpg,33,48.0
3 4 D5 30.jpg,30,49.0
3 2 D3 24.jpg,27,34.0
2 27 D5 48.jpg,76,57.0
3 3 D5 47.jpg,74,54.0
3 3 C3 21.jpg,44,51.0
3 7 C5 43.jpg,39,38.0
3 5 D5 8.jpg,66,84.0
3 6 C5 16.jpg,74,59.0
2 23 D2 44.jpg,30,37.0
3 8 D5 5.jpg,66,61.0
3 9 C4 30.jpg,1,1.0
3 6 C3 55.jpg,37,46.0
3 8 D3 19.jpg,32,30.0
2 23 D3 44.jpg,16,17.0
3 6 C2 53.jpg,2,3.0
3 5 C4 58.jpg,45,48.0
2 23 D3 58.jpg,16,43.0
2 25 D3 1.jpg,62,62.0
2 25 C1 45.jpg,65,78.0
3 3 C2 44.jpg,56,63.0
2 23 D2 40.jpg,46,59.0
3 6 D1 4.jpg,72,67.0
2 28 D2 9.jpg,54,63.0
3 6 C4 52.jpg,70,82.0
2 24 C3 32.jpg,24,28.0
2 27 C5 4.jpg,47,34.0
2 24 C1 40.jpg,61,65.0
3 3 D2 56.jpg,77,62.0
2 26 C1 52.jpg,54,62.0
3 1 C4 58.jpg,89,69.0
3 3 D1 9.jpg,44,41.0
3 9 D5 37.jpg,38,72.0
3 8 D5 55.jpg,45,40.0
3 3 C3 4.jpg,90,55.0
2 25 C3 53.jpg,32,28.0
3 1 C4 45.jpg,56,60.0
2 24 D2 22.jpg,34,42.0
2 24 D4 1.jpg,9,11.0
2 28 D3 9.jpg,63,77.0
2 23 D1 19.jpg,85,81.0
3 3 D1 26.jpg,0,2.0
2 28 D2 35.jpg,37,54.0
2 25 D4 28.jpg,47,51.0
3 5 D2 42.jpg,24,33.0
2 26 D3 17.jpg,43,74.0
3 3 C2 15.jpg,28,38.0
2 26 D5 27.jpg,89,86.0
3 2 C1 24.jpg,7,32.0
3 1 D5 38.jpg,45,50.0
3 3 C1 18.jpg,65,79.0
3 7 C2 6.jpg,33,34.0
2 21 C1 2.jpg,8,11.0
2 28 C2 23.jpg,82,90.0
3 2 C3 36.jpg,80,79.0
3 4 D1 30.jpg,65,50.0
3 5 D5 46.jpg,14,28.0
2 26 D1 47.jpg,82,111.0
3 6 C3 24.jpg,2,0.0
3 2 C3 34.jpg,8,8.0
3 7 C5 51.jpg,70,73.0
2 26 C4 43.jpg,25,40.0
3 1 C1 41.jpg,40,70.0
2 22 D1 19.jpg,43,67.0
3 8 C4 31.jpg,47,51.0
2 27 C4 17.jpg,79,66.0
3 4 C3 52.jpg,39,33.0
3 8 D3 45.jpg,51,60.0
2 23 C3 6.jpg,10,20.0
3 1 D3 1.jpg,70,63.0
2 27 C2 53.jpg,58,68.0
3 3 C1 22.jpg,56,81.0
3 4 C1 24.jpg,15,21.0
2 28 C2 30.jpg,60,78.0
3 8 C4 53.jpg,5,1.0
